model,channel,fragile,n_anomalous,n_nominal,tp,fp,tn,fn,precision,recall,f1
iTransformer,CADC0872,False,32,99,20,3,96,12,0.8696,0.625,0.7273
iTransformer,CADC0873,False,31,114,23,1,113,8,0.9583,0.7419,0.8364
iTransformer,CADC0874,False,23,29,15,3,26,8,0.8333,0.6522,0.7317
iTransformer,CADC0884,False,0,36,0,2,34,0,0.0,,
iTransformer,CADC0886,True,1,3,1,0,3,0,1.0,1.0,1.0
iTransformer,CADC0888,False,11,42,10,11,31,1,0.4762,0.9091,0.625
iTransformer,CADC0890,True,2,0,2,0,0,0,1.0,1.0,1.0
iTransformer,CADC0892,False,7,46,7,5,41,0,0.5833,1.0,0.7368
iTransformer,CADC0894,False,5,28,4,2,26,1,0.6667,0.8,0.7273
PatchTST,CADC0872,False,32,99,17,3,96,15,0.85,0.5312,0.6538
PatchTST,CADC0873,False,31,114,22,5,109,9,0.8148,0.7097,0.7586
PatchTST,CADC0874,False,23,29,12,0,29,11,1.0,0.5217,0.6857
PatchTST,CADC0884,False,0,36,0,2,34,0,0.0,,
PatchTST,CADC0886,True,1,3,1,1,2,0,0.5,1.0,0.6667
PatchTST,CADC0888,False,11,42,8,4,38,3,0.6667,0.7273,0.6957
PatchTST,CADC0890,True,2,0,2,0,0,0,1.0,1.0,1.0
PatchTST,CADC0892,False,7,46,4,0,46,3,1.0,0.5714,0.7273
PatchTST,CADC0894,False,5,28,4,2,26,1,0.6667,0.8,0.7273
Anomaly Transformer,CADC0872,False,32,99,28,82,17,4,0.2545,0.875,0.3944
Anomaly Transformer,CADC0873,False,31,114,25,89,25,6,0.2193,0.8065,0.3448
Anomaly Transformer,CADC0874,False,23,29,23,25,4,0,0.4792,1.0,0.6479
Anomaly Transformer,CADC0884,False,0,36,0,17,19,0,0.0,,
Anomaly Transformer,CADC0886,True,1,3,1,3,0,0,0.25,1.0,0.4
Anomaly Transformer,CADC0888,False,11,42,11,38,4,0,0.2245,1.0,0.3667
Anomaly Transformer,CADC0890,True,2,0,2,0,0,0,1.0,1.0,1.0
Anomaly Transformer,CADC0892,False,7,46,4,9,37,3,0.3077,0.5714,0.4
Anomaly Transformer,CADC0894,False,5,28,5,26,2,0,0.1613,1.0,0.2778
LSTM-AE,CADC0872,False,32,99,32,97,2,0,0.2481,1.0,0.3975
LSTM-AE,CADC0873,False,31,114,31,114,0,0,0.2138,1.0,0.3523
LSTM-AE,CADC0874,False,23,29,23,29,0,0,0.4423,1.0,0.6133
LSTM-AE,CADC0884,False,0,36,0,36,0,0,0.0,,
LSTM-AE,CADC0886,True,1,3,1,3,0,0,0.25,1.0,0.4
LSTM-AE,CADC0888,False,11,42,11,42,0,0,0.2075,1.0,0.3438
LSTM-AE,CADC0890,True,2,0,2,0,0,0,1.0,1.0,1.0
LSTM-AE,CADC0892,False,7,46,7,46,0,0,0.1321,1.0,0.2333
LSTM-AE,CADC0894,False,5,28,5,28,0,0,0.1515,1.0,0.2632
